"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Koweït [KWT]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","199.06","Valeur estimée",""
"Lesotho [LSO]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","1806","Valeur estimée",""
"Lesotho [LSO]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","3.87","Valeur estimée",""
"Lettonie [LVA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3313","Valeur estimée",""
"Lettonie [LVA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","111.89","Valeur estimée",""
"Liban [LBN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2926","Valeur estimée",""
"Liban [LBN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","89.43","Valeur estimée",""
"Libye [LBY]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3195","Valeur estimée",""
"Libye [LBY]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","130.7","Valeur estimée",""
"Libéria [LBR]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2103","Valeur estimée",""
"Libéria [LBR]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","48.83","Valeur estimée",""
"Lituanie [LTU]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3407","Valeur estimée",""
"Lituanie [LTU]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","100.02","Valeur estimée",""
"Luxembourg [LUX]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3483","Valeur estimée",""
"Luxembourg [LUX]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","78.27","Valeur estimée",""
